District.Name,Mandal Name,Total Dropboxcount,Child Marriage,Health Issues,Poverty,Distance,Religious Restrictions,Lack of facilities,Migration,Disabilities,Child Labour,Death,Studying in preprimay section,Studying in above 10th class,Open 10th Class,Not Traced,OverAge,UnderAge,In School,Total Not UpdatedCount
ATP,D.HIREHAL,199,3,2,5,86,0,0,78,2,3,4,1,9,0,0,0,0,5,1
ATP,BOMMANAHAL,426,2,30,72,2,2,0,136,4,48,1,65,53,0,0,0,0,11,0
ATP,VIDAPANAKAL,206,0,1,0,1,0,0,79,0,0,8,19,80,0,0,0,0,5,13
ATP,VAJRAKARUR,281,1,2,10,0,0,0,188,3,0,10,2,28,0,0,0,0,35,2
ATP,GUNTAKAL,822,1,4,9,17,1,56,296,0,15,1,87,57,1,0,0,0,89,188
ATP,GOOTY,468,1,5,5,0,0,0,407,3,0,0,0,14,0,0,0,0,33,0
ATP,PEDDAVADUGUR,185,0,0,0,4,0,14,119,0,0,1,1,32,2,0,0,0,12,0
ATP,YADIKI,199,0,1,0,0,0,4,21,5,2,2,12,0,0,0,0,0,33,119
ATP,TADPATRI,773,0,1,0,23,0,0,102,1,0,2,5,78,0,0,0,0,138,423
ATP,PEDDAPAPPUR,104,0,0,20,0,0,0,30,3,0,0,3,8,0,0,0,0,26,14
ATP,SINGANAMALA,203,0,0,0,19,0,0,127,6,0,5,0,0,0,0,0,0,45,1
ATP,PAMIDI,383,0,0,2,0,0,0,32,0,0,0,8,18,0,0,0,0,108,215
ATP,GARLADINNE,280,8,2,19,84,0,0,111,0,0,2,0,7,0,0,0,0,29,18
ATP,KUDAIR,167,3,8,1,0,0,60,60,4,12,2,0,7,0,0,0,0,9,1
ATP,URAVAKONDA,430,0,1,8,0,0,0,122,0,0,3,163,98,0,1,1,3,30,0
ATP,BELUGUPPA,152,0,3,14,0,0,0,64,2,0,2,24,28,1,0,0,0,14,0
ATP,KANEKAL,447,1,0,1,0,0,0,101,0,0,1,0,0,0,0,0,0,27,316
ATP,RAYADURG,749,6,4,39,0,1,1,418,15,92,2,55,56,0,0,0,0,60,0
ATP,GUMMAGATA,432,0,1,2,0,0,0,44,0,0,0,12,5,0,0,0,0,326,42
ATP,BRAHMASAMUDRAM,184,0,3,21,1,0,0,108,5,0,0,0,28,5,0,0,0,13,0
ATP,SETTUR,147,0,0,0,0,0,0,71,4,0,4,10,12,0,0,0,0,10,36
ATP,KUNDURPI,215,0,0,5,0,0,0,36,0,3,1,19,3,7,0,0,0,32,109
ATP,KALYANDRUG,677,0,8,18,101,0,15,292,4,4,5,43,65,0,0,0,0,68,54
ATP,ATMAKUR,223,2,3,16,72,0,0,40,3,0,3,4,71,0,0,0,0,9,0
ATP,ANANTAPUR,2824,10,19,51,20,8,6,305,6,27,8,652,188,13,1,21,0,694,795
ATP,BUKKARAYASAMUDRAM,458,0,1,22,0,0,0,200,4,0,3,42,55,0,0,0,0,70,61
ATP,NARPALA,291,0,1,7,14,0,0,104,9,0,0,10,16,0,0,0,0,43,87
ATP,PUTLUR,138,0,2,37,2,0,0,46,1,0,0,24,10,0,0,0,0,16,0
ATP,YELLANUR,65,0,0,3,0,0,0,23,2,0,0,1,6,0,0,0,0,11,19
ATP,TADIMARRI,140,0,1,0,0,0,48,39,4,0,2,16,5,0,0,10,0,9,6
ATP,BATHALAPALLE,147,0,0,0,64,0,0,35,6,0,0,9,28,0,0,0,0,5,0
ATP,RAPTADU,181,0,4,4,90,0,1,60,0,0,2,2,0,0,0,0,0,18,0
ATP,KANAGANAPALLE,142,0,4,10,36,2,15,47,0,0,1,4,2,0,0,0,0,20,1
ATP,KAMBADUR,203,0,1,1,0,0,0,34,0,0,0,0,2,0,0,0,0,42,123
ATP,RAMAGIRI,160,2,0,0,86,0,0,46,0,0,0,1,0,0,0,0,0,21,4
ATP,CHENNEKOTHAPALLI,120,0,2,1,61,0,0,46,1,0,2,0,0,0,0,0,0,7,0
ATP,DHARMAVARAM,792,0,2,7,0,0,1,593,3,0,0,10,100,0,0,0,0,76,0
ATP,MUDIGUBBA,261,0,14,1,0,0,0,211,0,0,1,5,8,0,0,0,0,21,0
ATP,TALUPULA,152,0,1,19,3,0,2,113,1,1,2,4,0,0,0,0,0,5,1
ATP,NAMBULAPULIKUNTA,145,2,1,2,0,0,0,81,3,0,1,2,0,0,0,0,0,12,41
ATP,TANAKAL,185,0,0,0,0,0,0,38,2,0,1,6,41,0,0,10,0,30,57
ATP,NALLACHERUVU,131,0,0,0,0,0,0,130,0,1,0,0,0,0,0,0,0,0,0
ATP,GANDLAPENTA,141,0,0,0,6,0,1,50,0,0,0,30,5,0,0,0,0,47,2
ATP,KADIRI,876,3,4,27,0,12,262,377,3,1,6,66,57,1,0,0,0,56,1
ATP,AMADAGUR,107,0,0,0,0,0,0,82,2,0,0,1,9,0,0,0,0,13,0
ATP,OBULADEVARACHERUVU,164,0,0,4,6,0,0,84,1,1,1,0,5,0,0,0,0,21,41
ATP,NALLAMADA,174,0,0,0,0,0,0,114,0,0,0,28,13,0,0,0,0,19,0
ATP,GORANTLA,299,29,6,3,0,0,0,241,2,1,0,1,2,0,0,0,0,14,0
ATP,PUTTAPARTHI,310,0,1,3,0,0,0,153,0,0,2,4,11,0,0,0,0,101,35
ATP,BUKKAPATNAM,117,0,4,1,2,0,0,23,1,0,1,56,4,0,0,8,0,15,2
ATP,KOTHACHERUVU,111,0,0,0,1,0,0,8,0,0,1,0,2,0,0,0,0,25,74
ATP,PENUKONDA,206,1,0,0,0,0,0,147,0,0,1,8,21,0,0,0,0,28,0
ATP,RODDAM,122,2,2,1,0,0,0,93,3,0,1,2,10,0,0,0,0,8,0
ATP,SOMANDEPALLE,104,0,1,0,0,0,0,18,0,0,0,5,0,0,0,0,0,19,61
ATP,CHILAMATHUR,157,0,4,1,0,0,7,80,0,0,1,0,32,0,0,0,0,31,1
ATP,LEPAKSHI,391,3,3,27,3,0,0,62,1,0,2,1,22,0,4,7,0,256,0
