District.Name,Mandal Name,Total Dropboxcount,Child Marriage,Health Issues,Poverty,Distance,Religious Restrictions,Lack of facilities,Migration,Disabilities,Child Labour,Death,Studying in preprimay section,Studying in above 10th class,Open 10th Class,Not Traced,OverAge,UnderAge,In School,Total Not UpdatedCount
KDP,KONDAPURAM,132,0,0,9,2,0,0,67,2,0,0,0,0,0,15,5,0,32,0
KDP,MYLAVARAM,194,0,2,39,0,1,0,93,2,0,1,0,0,1,0,27,0,28,0
KDP,PEDDAMUDIUM,107,0,4,18,0,0,1,57,1,0,0,0,2,2,0,0,0,22,0
KDP,RAJUPALEM,85,8,0,7,0,0,0,47,1,1,2,0,0,0,2,10,0,7,0
KDP,DUVVUR,130,2,1,32,1,1,1,52,4,0,0,0,0,0,0,19,0,18,-1
KDP,MYDUKUR,550,1,8,120,0,2,0,90,4,4,1,0,64,5,73,49,23,104,2
KDP,B.MATTAM,127,0,1,2,2,1,0,94,0,13,0,5,2,0,0,0,0,7,0
KDP,B.KODUR,59,1,1,1,0,0,0,21,1,2,0,2,9,0,3,0,0,18,0
KDP,KALASAPADU,88,0,1,1,0,0,0,45,0,0,0,0,0,0,2,5,0,33,1
KDP,PORUMAMILLA,271,2,0,0,0,0,0,226,4,0,0,0,0,0,7,1,0,30,1
KDP,BADVEL,162,0,0,1,0,0,0,67,0,1,0,0,8,0,12,1,0,71,1
KDP,GOPAVARAM,202,0,2,0,0,0,1,84,2,4,0,2,20,0,25,0,1,60,1
KDP,KHAJIPET,229,1,0,4,0,0,0,146,0,7,1,32,19,0,0,0,0,19,0
KDP,CHAPADU,158,0,4,8,0,1,0,31,7,0,2,0,0,0,9,45,0,23,28
KDP,PRODDUTUR,1347,2,8,6,105,2,2,716,14,2,1,0,8,1,9,281,0,188,2
KDP,JAMMALAMADUGU,361,0,0,45,0,0,0,120,1,0,1,2,6,0,33,69,0,84,0
KDP,MUDDANUR,76,0,8,9,0,0,0,52,3,2,0,0,0,0,0,0,0,2,0
KDP,SIMHADRIPURAM,111,0,5,0,0,0,0,102,1,0,0,0,0,0,0,0,0,3,0
KDP,LINGALA,74,0,1,0,0,0,0,12,0,1,0,33,0,1,2,16,0,8,0
KDP,PULIVENDLA,382,3,0,1,0,4,0,238,0,1,0,0,0,0,51,0,1,69,14
KDP,VEMULA,80,1,0,4,1,0,0,37,2,0,0,3,0,0,12,3,0,13,4
KDP,THONDUR,49,0,0,0,1,2,0,16,0,0,0,6,0,0,8,6,0,10,0
KDP,V.N.PALLE,87,0,1,17,2,0,0,13,2,0,2,13,0,0,5,3,0,28,1
KDP,YERRAGUNTLA,316,0,1,15,0,0,0,163,2,1,1,1,0,0,4,36,0,92,0
KDP,KAMALAPURAM,139,0,1,0,2,1,1,76,2,0,1,0,0,0,11,9,0,34,1
KDP,VALLUR,140,0,0,0,0,0,0,62,2,0,3,1,0,0,15,12,10,35,0
KDP,CHENNUR,158,0,0,0,1,0,0,62,0,0,0,0,0,0,24,42,0,29,0
KDP,ATLUR,159,4,1,0,0,7,3,60,1,8,2,1,0,0,26,12,2,23,9
KDP,VONTIMITTA,131,2,4,0,0,2,3,74,2,16,0,1,6,0,0,4,0,17,0
KDP,SIDHOUT,113,0,11,0,0,0,0,23,0,3,0,4,0,0,0,34,3,40,-5
KDP,CUDDAPAH,2194,13,18,76,67,19,6,671,2,18,1,53,11,13,9,297,0,906,14
KDP,C.K.DINNE,251,0,10,0,0,0,0,118,0,0,1,0,0,0,0,34,0,87,1
KDP,PENDLIMARRY,184,1,2,0,0,0,0,123,1,2,4,0,0,0,27,2,0,22,0
KDP,VEMPALLI,300,0,2,10,8,0,20,191,5,30,0,0,0,0,0,0,0,34,0
KDP,CHAKRAYAPET,88,0,2,19,0,0,0,39,4,0,0,0,0,0,0,1,0,23,0
KDP,L.R.PALLI,176,0,0,0,0,0,0,88,0,0,0,2,4,1,6,43,4,28,0
KDP,RAMAPURAM,140,1,0,1,0,0,0,33,1,7,0,1,0,0,72,5,0,19,0
KDP,VEERABALLI,132,1,2,9,2,0,0,82,1,10,0,10,8,0,3,3,0,1,0
KDP,RAJAMPET,614,1,9,2,99,0,0,315,1,1,0,0,2,5,5,72,1,101,0
KDP,NANDALUR,206,9,1,15,51,0,0,62,3,1,1,0,4,0,0,28,4,27,0
KDP,PENAGALUR,234,0,0,14,0,0,0,137,2,0,1,5,0,0,1,55,4,15,0
KDP,CHITVEL,186,5,2,3,13,1,0,70,4,7,0,9,0,1,14,18,1,38,0
KDP,KODUR,601,11,11,98,7,14,0,267,1,16,1,52,0,0,17,16,0,90,0
KDP,OBULAVARIPALLI,152,6,2,5,1,0,0,27,1,1,1,0,0,0,22,12,0,45,29
KDP,PULLAMPET,161,4,5,11,0,1,0,19,4,0,0,5,0,0,0,12,0,79,21
KDP,T SUNDUPALLI,208,9,3,15,1,5,14,44,3,4,1,33,2,0,25,21,4,24,0
KDP,SAMBEPALLI,140,2,7,1,2,0,0,55,0,10,0,0,0,0,0,6,0,57,0
KDP,CHINNAMANDEM,162,2,0,11,0,6,8,96,15,1,0,0,0,0,0,6,0,17,0
KDP,RAYACHOTY,870,2,3,3,13,29,0,257,3,11,4,180,69,0,12,77,1,106,100
KDP,GALIVEEDU,270,5,6,18,4,10,4,113,5,6,2,10,2,0,27,2,1,53,2
KDP,S.V.KASINAYAN,95,1,2,3,0,0,0,18,3,0,1,27,3,0,0,24,0,13,0
KDP,RAYACHOTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
KDP,GALIVEEDU,270,5,6,18,4,10,4,113,5,6,2,10,2,0,27,2,1,53,2
KDP,S.V.KASINAYAN,95,1,2,3,0,0,0,18,3,0,1,27,3,0,0,24,0,13,0
KDP,RAYACHOTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
