District.Name,Mandal Name,Total Dropboxcount,Child Marriage,Health Issues,Poverty,Distance,Religious Restrictions,Lack of facilities,Migration,Disabilities,Child Labour,Death,Studying in preprimay section,Studying in above 10th class,Open 10th Class,Not Traced,OverAge,UnderAge,In School,Total Not UpdatedCount
CHTR,PEDDAMANDYAM,184,2,5,20,1,2,0,100,0,1,5,36,0,0,0,0,0,12,0
CHTR,THAMBALLAPALLE,58,0,0,0,2,0,0,37,4,2,0,2,1,2,2,4,0,2,0
CHTR,MULAKALACHERUVU,154,0,6,0,0,0,0,105,1,0,0,5,0,2,0,5,5,25,0
CHTR,PEDDATHIPPA SAMUDRAM,191,1,15,5,1,0,1,156,0,4,1,1,1,0,0,0,0,5,0
CHTR,B.KOTHAKOTA,244,0,0,0,1,0,0,14,0,0,0,0,5,1,85,4,0,123,11
CHTR,KURABALAKOTA,156,0,1,0,0,0,1,116,0,0,2,0,7,1,2,0,0,26,0
CHTR,GURRAMKONDA,165,5,2,0,1,4,0,50,6,0,0,6,3,6,15,0,4,60,3
CHTR,KALAKADA,119,7,0,0,0,0,0,93,0,0,0,0,11,0,0,0,0,8,0
CHTR,K.V.PALLE,128,6,1,3,0,1,1,62,0,1,1,3,17,3,2,1,0,26,0
CHTR,YERRAVARIPALEM,79,0,1,7,0,0,0,53,1,2,0,0,0,0,0,6,0,8,1
CHTR,TIRUPATHI(U),2421,6,19,12,26,12,3,1601,1,43,11,1,38,0,355,16,0,277,0
CHTR,RENIGUNTA,493,1,13,13,11,1,194,124,2,3,0,0,0,0,0,34,0,97,0
CHTR,YERPEDU,181,3,6,11,49,0,0,60,2,18,0,0,0,0,27,0,0,5,0
CHTR,SRIKALAHASTI,656,0,24,9,59,5,68,273,4,2,1,6,3,0,152,17,0,33,0
CHTR,THOTTAMBEDU,140,2,2,0,0,0,0,90,1,0,2,28,1,0,0,8,0,6,0
CHTR,B.N.KANDRIGA,181,1,0,29,0,0,0,94,0,0,0,0,50,0,0,1,0,6,0
CHTR,VARADAIAHPALEM,180,1,20,25,1,1,3,108,10,3,0,0,0,0,0,0,0,8,0
CHTR,SATHYAVEDU,157,1,2,13,0,2,0,107,0,0,3,0,9,1,2,0,0,17,0
CHTR,NAGALAPURAM,137,0,3,10,6,0,3,74,5,1,1,10,14,0,0,4,0,5,1
CHTR,PITCHATUR,142,5,7,16,10,5,9,64,0,19,0,0,0,0,0,3,0,4,0
CHTR,VIJAYAPURAM,62,0,0,3,0,0,0,43,1,0,0,1,0,4,1,2,0,7,0
CHTR,NINDRA,51,3,0,13,0,0,2,30,1,0,1,0,0,0,0,1,0,0,0
CHTR,K.V.B.PURAM,180,0,4,1,11,0,7,155,0,0,0,0,0,0,0,0,0,2,0
CHTR,NARAYANAVARAM,71,0,4,13,0,0,0,22,4,0,2,0,0,0,9,0,0,16,1
CHTR,VADAMALAPET,74,0,1,0,0,0,0,0,0,0,0,10,0,1,2,0,0,3,57
CHTR,TIRUPATHI(R),445,5,2,17,94,1,7,150,3,5,0,1,5,0,92,28,1,33,1
CHTR,R.C.PURAM,79,2,0,0,0,0,0,63,1,0,1,0,6,0,1,0,0,6,-1
CHTR,CHANDRAGIRI,275,1,10,9,6,1,1,150,7,5,0,0,0,0,0,0,0,10,75
CHTR,CHINNAGOTTIGALLU,85,2,5,11,0,0,0,42,2,8,1,0,0,2,0,0,0,12,0
CHTR,ROMPICHERLA,71,0,0,4,0,0,0,42,0,0,3,0,4,8,0,0,0,10,0
CHTR,PILER,314,0,0,0,0,0,0,117,0,1,0,30,9,0,100,0,0,57,0
CHTR,KALIKIRI,165,0,0,0,0,0,0,61,0,0,0,0,33,2,0,6,0,63,0
CHTR,VAYALPAD,131,0,3,7,5,1,16,55,4,3,1,16,6,1,3,2,0,8,0
CHTR,NIMMANAPALLE,78,0,1,7,0,1,1,27,8,0,0,6,2,2,0,12,4,6,1
CHTR,MADANAPALLE,988,4,25,1,2,0,0,418,2,11,0,1,0,11,126,77,0,297,13
CHTR,RAMASAMUDRAM,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,136
CHTR,PUNGANUR,485,0,3,4,0,13,1,169,1,0,0,1,0,0,102,32,0,157,2
CHTR,CHOWDEPALLE,121,1,0,0,0,0,0,100,1,0,0,8,0,0,1,0,0,10,0
CHTR,SOMALA,140,0,0,0,0,0,0,81,0,0,1,0,0,0,54,0,0,4,0
CHTR,SODAM,87,0,2,0,0,1,0,68,0,0,0,0,2,0,2,1,0,11,0
CHTR,PULICHERLA,108,0,0,0,0,0,0,80,0,0,0,0,0,0,0,1,0,28,-1
CHTR,PAKALA,107,0,1,0,0,0,0,86,0,0,0,1,1,0,2,0,0,15,1
CHTR,VEDURUKUPPAM,109,3,3,5,0,0,0,64,1,0,0,0,0,0,0,0,0,16,17
CHTR,PUTTUR,287,0,1,0,7,0,1,213,0,1,3,0,6,0,16,18,0,21,0
CHTR,NAGARI,395,7,4,18,8,3,0,262,1,0,8,4,2,2,15,7,0,51,3
CHTR,KARVETINAGAR,93,0,0,2,0,0,0,81,0,0,0,0,2,0,0,0,0,8,0
CHTR,S.R.PURAM,105,2,3,23,0,0,0,54,3,0,0,0,5,0,8,0,0,6,1
CHTR,PALASAMUDRAM,68,0,0,0,14,0,0,48,1,2,0,0,0,0,1,0,0,2,0
CHTR,GANGADHARANELLORE,147,1,0,1,0,0,0,88,3,4,1,0,1,0,28,0,0,12,8
CHTR,PENUMUR,72,1,6,5,2,2,0,37,1,1,0,0,0,0,0,0,0,17,0
CHTR,PUTHALAPATTU,108,0,0,3,0,0,0,42,0,0,0,0,0,0,1,4,0,57,1
CHTR,IRALA,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,76
CHTR,THAVANAMPALLE,100,2,18,2,1,0,0,48,4,1,2,3,0,0,5,0,0,13,1
CHTR,CHITTOOR,752,10,8,1,25,19,0,505,9,5,8,6,6,12,13,0,0,124,1
CHTR,GUDIPALA,97,1,2,0,0,0,0,44,0,1,0,0,1,0,36,0,0,9,3
CHTR,YADAMARI,167,0,5,0,0,4,10,123,0,0,2,0,0,4,9,1,0,9,0
CHTR,BANGARUPALEM,137,0,5,4,1,0,5,53,2,1,0,0,0,0,0,0,0,13,53
CHTR,PALAMANER,506,1,11,7,4,10,0,309,1,40,12,0,30,6,1,0,0,74,0
