SI No,District code,District name,Mandal code,Mandal Name,Village Name,School Id,School Name,Area,School Category,School Managments,School Type,Lower Class,Higer Class,Medium1,Medium2,Medium3,Medium4
1,2820,KADAPA,282030,SIDHOUT,SIDHOUT @ SIDDAVATTAM,28203001125,SRI SAI HIGH SCHOOL,Rural,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,Telugu,Hindi,Bengali
2,2820,KADAPA,282028,ATLUR,SHROTRIYAVENKATAPURAM,28202800702,AMRUTHA SAI VIDYANIKETHAN,Rural,Primary with Upper Primary,Pvt.Unaided,Co-education,1,7,Telugu,English,Hindi,Urdu
3,2820,KADAPA,282031,CUDDAPAH,CUDDAPAH (M)-4,28203192205,AARTI EM HIGH SCHOOL,Urban,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,Telugu,Hindi,Sanskrit
4,2820,KADAPA,282037,RAMAPURAM,NALLAGUTTAPALLE,28203700610,SV HS NG PALLE,Rural,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,Telugu,English,Hindi,None
5,2820,KADAPA,282020,PULIVENDLA,"PAULREDDY MEMORIAL,PDL",28202001419,SRI SARASWATHI PS PVL,Urban,Primary,Pvt.Unaided,Co-education,1,5,English,Telugu,Hindi,None
6,2820,KADAPA,282020,PULIVENDLA,"PAULREDDY MEMORIAL,PDL",28202001451,SRI SARASWATHI HS PVL,Urban,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,Telugu,English,Hindi,None
7,2820,KADAPA,282032,C.K.DINNE,KOPPARTHI,28203200109,ASHANILAYAM SPEECH AND HEARING IMPAIRED HIGH SCHOOL,Rural,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,Telugu,English,Hindi,None
8,2820,KADAPA,282032,C.K.DINNE,BUGGALETIPALLE,28203201902,VISHNU PS BUGGALETIPALLI,Rural,Primary,Pvt.Unaided,Co-education,1,5,Telugu,English,Hindi,None
9,2820,KADAPA,282031,CUDDAPAH,CUDDAPAH (M)-2,28203191490,THE NATIONAL HS R V NAGAR,Urban,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,Telugu,Hindi,None
10,2820,KADAPA,282002,MYLAVARAM,MYLAVARAM,28200202406,APRS GIRLS MYLAVARAM,Rural,Pr. Up Pr. and Secondary Only,APREI Society Schools,Girls,5,10,English,None,None,None
11,2820,KADAPA,282025,KAMALAPURAM,KAMALAPURAM(PT),28202500522,ZPHS GIRLS KAMALAPURAM,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Girls,6,10,Telugu,English,None,None
12,2820,KADAPA,282025,KAMALAPURAM,KAMALAPURAM(PT),28202500523,APSWRJ KAMALAPURAM GIRLS,Rural,Pr. with Up.Pr. sec. and H.Sec.,APSWREI Society Schools,Girls,5,10,English,None,None,None
13,2820,KADAPA,282028,ATLUR,ATLUR,28202801209,KGBVHS ATLUR,Rural,Upper Pr. and Secondary,KGBVs(SSA),Girls,6,10,Telugu,English,None,None
14,2820,KADAPA,282043,KODUR,KODUR,28204300944,ZPGHS GIRLS KODUR,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Girls,6,10,Telugu,English,None,None
15,2820,KADAPA,282043,KODUR,KODUR,28204300958,MINI GURUKULAM KODUR,Rural,Pr. Up Pr. and Secondary Only,MINI GURUKULAMS,Girls,1,10,Telugu,English,None,None
16,2820,KADAPA,282045,PULLAMPET,PULLAMPETA,28204500612,SRI SIVAPARVATHI HS,Rural,Upper Pr. and Secondary,Pvt.Unaided,Girls,6,10,English,None,None,None
17,2820,KADAPA,282045,PULLAMPET,PULLAMPETA,28204500619,KGBV PULLAMPET,Rural,Upper Pr. and Secondary,KGBVs(SSA),Girls,6,10,English,None,None,None
18,2820,KADAPA,282001,KONDAPURAM,KONDAPURAM,28200102414,APSWR S CMR COLONY(G),Rural,Pr. Up Pr. and Secondary Only,APSWREI Society Schools,Girls,5,10,English,None,None,None
19,2820,KADAPA,282031,CUDDAPAH,CHEMMUMIAHPET,28203190221,ZPHS CHEMMUMIAPET(GIRLS),Urban,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Girls,6,10,Telugu,English,None,None
20,2820,KADAPA,282035,CHAKRAYAPET,CHAKRAYAPET,28203500712,KGBVS CK PETA,Rural,Upper Pr. and Secondary,KGBVs(SSA),Girls,6,10,English,None,None,None
21,2820,KADAPA,282037,RAMAPURAM,NALLAGUTTAPALLE,28203700613,KGBVS RAMAPURAM,Rural,Upper Pr. and Secondary,KGBVs Run by APSWREI Society,Girls,6,10,English,Telugu,None,None
22,2820,KADAPA,282040,NANDALUR,NANDALUR,28204001914,MJPAPBCWR SCHOOL GIRLS NANDALUR,Rural,Pr. Up Pr. and Secondary Only,APREI Society Schools,Girls,5,10,English,None,None,None
23,2820,KADAPA,282046,T SUNDUPALLI,PEDDINENIKALVA,28204601311,KGBV CHENNA REDDY NAGAR,Rural,Upper Pr. and Secondary,KGBVs(APREIS),Girls,6,10,Telugu,English,None,None
